author,date,id,iso,original_review,original_title,predicted_langs/0,predicted_langs/1,predicted_langs/2,predicted_langs/3,predicted_langs/4,product,review,stars,title,version,weight
Bronson Pate,2015-10-21T21:32:46,14831371782LBMBYTOLh3XUuws_5457OAg,ZZ,Great app - solved most of the problems I had from switching to android from Apple.,Perfect for my needs,en,,,,,14831371782,Great app - solved most of the problems I had from switching to android from Apple.,5.00,Perfect for my needs,3.7,0
Kenny Coan III,2015-10-21T20:55:31,14831371782LAb_nzkzvQZuk9SVB0zY6SQ,ZZ,Works great and love the material design.,I like,en,,,,,14831371782,Works great and love the material design.,4.00,I like,3.7,0
Mark Stanbridge,2015-10-21T20:54:34,14831371782LnX1z2fSbOadLrSBtblGk_g,ZZ,**Doesn't work with Marshmallow 6.0**!Doesn't Much better than the stock messaging app on Android. I can recommend Textra. Works well and nice to have customization too. Very good!,Textra,en,,,,,14831371782,**Doesn't work with Marshmallow 6.0**!Doesn't Much better than the stock messaging app on Android. I can recommend Textra. Works well and nice to have customization too. Very good!,1.00,Textra,3.7,0
Dave Wilkinson,2015-10-21T20:53:06,14831371782LS3tIcYoa6dkUT8fG9ihEpQ,ZZ,"Like most Android apps little thought about accessibility settings. You are stuck with just three fonts sizes with this app, very strange. Why can't the user set the font size? How about using volume button to increase or decrease the text size. Had to uninstall. UPDATE: They've added a slider to alter the text size, but, it alters all the text in the app, so, things like menu options disappear! Does anybody actually test this app? Why can't I just alter the actual message bubble text? UPDATE: Bugs!","OK, but ...",en,,,,,14831371782,"Like most Android apps little thought about accessibility settings. You are stuck with just three fonts sizes with this app, very strange. Why can't the user set the font size? How about using volume button to increase or decrease the text size. Had to uninstall. UPDATE: They've added a slider to alter the text size, but, it alters all the text in the app, so, things like menu options disappear! Does anybody actually test this app? Why can't I just alter the actual message bubble text? UPDATE: Bugs!",3.00,"OK, but ...",3.7,0
Hoods The Artist,2015-10-21T20:31:10,14831371782LVqUcsbd3cGN5WGMUzdFOrQ,ZZ,Better than go SMS. Amazing. I love the pop-ups!,It works so well!,en,nl,,,,14831371782,Better than go SMS. Amazing. I love the pop-ups!,5.00,It works so well!,3.7,0
Jai Kelly,2015-10-21T20:22:57,14831371782LuKiOUzfnI1DTWQY5Qont-Q,ZZ,I Love This App Just Wish U Can Use Your Own Picture As The Background Of Each Conversation Or Period.,I Love This App,en,,,,,14831371782,I Love This App Just Wish U Can Use Your Own Picture As The Background Of Each Conversation Or Period.,4.00,I Love This App,3.7,0
Jake Deines,2015-10-21T20:05:43,14831371782LTQlBTHI-rlk4jV3Vjq1IhA,ZZ,"It works great. I got sick of all the ads on Handcent so I went searching for a alternative. So glad I found Textra. Looks beautiful, functions elegantly and is as efficient as any app on my phone.",,en,,,,,14831371782,"It works great. I got sick of all the ads on Handcent so I went searching for a alternative. So glad I found Textra. Looks beautiful, functions elegantly and is as efficient as any app on my phone.",5.00,,3.7,0
Josh Keough,2015-10-21T20:05:00,14831371782LcuvqKUtqVa_LEQ4KK80hfQ,ZZ,"I love textra been using it since I got my phone about a year ago. I'm a pro user and everything. There's just one thing (actually 2) that would make this app better. First, please make this app compatible with Samsungs multi window feature. Second (and basically the same) please make it compatible with ultra power saving mode. I hate having to switch between textra and samsungs terrible native sms app.",Just one thing,en,,,,,14831371782,"I love textra been using it since I got my phone about a year ago. I'm a pro user and everything. There's just one thing (actually 2) that would make this app better. First, please make this app compatible with Samsungs multi window feature. Second (and basically the same) please make it compatible with ultra power saving mode. I hate having to switch between textra and samsungs terrible native sms app.",4.00,Just one thing,3.7,0
Andrian Paul Castaneda,2015-10-21T19:59:39,14831371782LKIGqZuaaYZK-B5s0wBjc4Q,ZZ,much better if you guys add additonal features which is sceduling an sms and private sms then i'll give you 5,SCHEDULING SMS,en,,,,,14831371782,much better if you guys add additonal features which is sceduling an sms and private sms then i'll give you 5,2.00,SCHEDULING SMS,3.7,0
Zachary Crockett,2015-10-21T19:16:46,14831371782L9hIUZdA5ZHKkjdpbMBvKfg,ZZ,I struggled for a long time with Messages and Hangouts not doing what I expected with texts for various reasons. Textra solves all my problems elegantly and gets out of my way.,Best SMS/MMS app!,en,,,,,14831371782,I struggled for a long time with Messages and Hangouts not doing what I expected with texts for various reasons. Textra solves all my problems elegantly and gets out of my way.,5.00,Best SMS/MMS app!,3.7,0
Pamela Dunn,2015-10-21T18:59:47,14831371782LHWhhY6h9EAE0Us_TH-E_lw,ZZ,"Can you add a feature to the blacklist, so you can add a number before they actually text you?",Blacklist,en,,,,,14831371782,"Can you add a feature to the blacklist, so you can add a number before they actually text you?",4.00,Blacklist,3.7,0
Michael Min,2015-10-21T18:23:45,14831371782L1veuhWp0TG4wHPSvTjmVOw,ZZ,"After new update, crashes when you press the + to add emojis, pictures or other attachments",Crashes when you try to add emoji,en,,,,,14831371782,"After new update, crashes when you press the + to add emojis, pictures or other attachments",2.00,Crashes when you try to add emoji,3.7,0
Camilo Morrice,2015-10-21T18:14:25,14831371782LByCTo6LZBoF_O4Rd8wjJrw,ZZ,I am so glad that I bought pro. You guys deserve it. Also can you make it so all MMS will auto compress. Especially GIFs,Love it,en,,,,,14831371782,I am so glad that I bought pro. You guys deserve it. Also can you make it so all MMS will auto compress. Especially GIFs,5.00,Love it,3.7,0
Craig Stewart,2015-10-21T18:12:15,14831371782LiFuNApBNUIaifmzlm6Zo7Q,ZZ,"The Absolute Best Texting and Picture Texting App out there, bar none!  I keep recommending it to my friends.  It is The Best!!!",Textra,en,,,,,14831371782,"The Absolute Best Texting and Picture Texting App out there, bar none!  I keep recommending it to my friends.  It is The Best!!!",5.00,Textra,3.7,0
A Google user,2015-10-21T18:07:03,14831371782LIfTn2jRZoXUIHiAUPMEsaQ,ZZ,Huge step up from Handcent SMS. I can edit contacts and my pics are sent almost immediately. No lang in receiving MMS like I did with Handcent.,T-Mobile ZTE Zmax,en,,,,,14831371782,Huge step up from Handcent SMS. I can edit contacts and my pics are sent almost immediately. No lang in receiving MMS like I did with Handcent.,5.00,T-Mobile ZTE Zmax,3.7,0
Davis Vanderslice,2015-10-21T17:52:42,14831371782LirnX0tUq36cCWI9iH81zBw,ZZ,"Love the app on my phone, however I much preferred Hangouts integration with Android Wear. The ability to browse texts and create pre-written responses for Wear would be great.","Great for phone, mediocre for Android Wear",en,,,,,14831371782,"Love the app on my phone, however I much preferred Hangouts integration with Android Wear. The ability to browse texts and create pre-written responses for Wear would be great.",4.00,"Great for phone, mediocre for Android Wear",3.7,0
Sarah Murphy,2015-10-21T17:38:52,14831371782LdJEqnAwORrVET_kMlA-AYQ,ZZ,I deleted it because every time i clicked on the app my internet would open saying i had a virus.,,en,,,,,14831371782,I deleted it because every time i clicked on the app my internet would open saying i had a virus.,2.00,,,0
Mordokai Rigby,2015-10-21T17:34:53,14831371782LWf4L2ZdqRojPPCASm_rVzQ,ZZ,This apps sending so much data to flurry and cloud flare. Kinda creepy,Too much analytics,en,,,,,14831371782,This apps sending so much data to flurry and cloud flare. Kinda creepy,2.00,Too much analytics,3.7,0
Chaz Hinkeldey,2015-10-21T17:11:55,14831371782LRaYtThzGvEWlX419Iu2qDg,ZZ,Does good,Good stuff,cy,lb,br,af,nl,14831371782,Does good,5.00,Good stuff,3.7,0
MrBig Chet,2015-10-21T16:37:36,14831371782LuVDnirxumuaZRIFcO31pLw,ZZ,And its literally the best texting software out there. Thank you textra for making my life better now i can text girls very easyly and get pretty fast replies because they love how well i text them and express myself via textra. ♡,Bought it (first time i buy an app),en,,,,,14831371782,And its literally the best texting software out there. Thank you textra for making my life better now i can text girls very easyly and get pretty fast replies because they love how well i text them and express myself via textra. ♡,5.00,Bought it (first time i buy an app),3.7,0
Jesus Alarcon,2015-10-21T16:34:04,14831371782LZ1ujxaZhZSdxG59cNv_owA,ZZ,"I can receive texts but can't reply, It says it already sent the text but they other person does not get the message",......eh,en,,,,,14831371782,"I can receive texts but can't reply, It says it already sent the text but they other person does not get the message",1.00,......eh,3.7,0
Raymond DaRosa,2015-10-21T16:17:34,14831371782LVTuo5eITcowvxMZ-ttITTA,ZZ,This is app is awesome!! Just wish I could rename group messages.,Love it,en,,,,,14831371782,This is app is awesome!! Just wish I could rename group messages.,5.00,Love it,3.7,0
Tiffany Nguyen,2015-10-21T16:02:16,14831371782L0oopgqeWXnG7DPV76E7KXw,ZZ,Add time stamps,,en,it,bs,hr,nn,14831371782,Add time stamps,4.00,,3.7,0
Ch Ali,2015-10-21T15:54:51,14831371782LGi0_teOEyFd1XCW2diLDfw,ZZ,amazing messging app,GooD,sw,en,it,lb,af,14831371782,amazing messging app,5.00,GooD,3.7,0
mus-khan shamshul k,2015-10-21T15:49:04,14831371782LMJV5QZQsVqPzOmZnpK0rNA,ZZ,Became worst aftee update...not even a single msg is being sent..idk whats the prblm of the app..feels like giving a tight slap to this app..some body help me to send sms es ...,,en,,,,,14831371782,Became worst aftee update...not even a single msg is being sent..idk whats the prblm of the app..feels like giving a tight slap to this app..some body help me to send sms es ...,1.00,,3.7,0
Scott Sharp,2015-10-21T15:47:44,14831371782LX3mfpiBj_IdwXtj-pX8mtQ,ZZ,Looks great. Easy to use. Still discovering new little features.,Great replacement for default app,en,,,,,14831371782,Looks great. Easy to use. Still discovering new little features.,5.00,Great replacement for default app,3.7,0
Jamall Clark,2015-10-21T15:41:14,14831371782LTtQhWoOMgdmD6FBNmG7O5A,ZZ,Excellent,Excellent,fr,ca,hu,lb,br,14831371782,Excellent,5.00,Excellent,3.7,0
Noir Oracle,2015-10-21T15:25:05,14831371782LGKpYB9yWgHstqhc80h-l2g,ZZ,"After recent updates I am getting a message of ""application restarting in background and consuming battery"". On opening the details there is a message Textra has restarted 30 times in 40 minutes. Please fix the issue asap.",Application Frequent Restart Message...,en,la,,,,14831371782,"After recent updates I am getting a message of ""application restarting in background and consuming battery"". On opening the details there is a message Textra has restarted 30 times in 40 minutes. Please fix the issue asap.",3.00,Application Frequent Restart Message...,3.7,0
David Knapton,2015-10-21T15:22:03,14831371782LByzCsWLQArSnhsNficUZyw,ZZ,I no longer get the same text multiple times from the same person. Would love to have scheduled texts and the ability to have a wallpapered back ground (per contact). Very smooth. Nice customization. Great messenger!,Great app,en,,,,,14831371782,I no longer get the same text multiple times from the same person. Would love to have scheduled texts and the ability to have a wallpapered back ground (per contact). Very smooth. Nice customization. Great messenger!,5.00,Great app,,0
Tanveer Kokab,2015-10-21T15:16:37,14831371782L3fQ6CGrCpRZfs8D5cRkHZw,ZZ,Good App does what it says... Highly recommended  The best feature I was looking for is the signature in SMS. Always coming back to it.,,en,,,,,14831371782,Good App does what it says... Highly recommended  The best feature I was looking for is the signature in SMS. Always coming back to it.,5.00,,2.33,0
Francis Freno,2015-10-21T15:09:31,14831371782L5en2O6vC_ztMwibVOVPjdg,ZZ,"Textra so far does what it claims to do. I'm not sure why they went the ad route, that's the only real degradation of the experience for me. Courage developers! Customers will follow! If you build it, they will come!",Replaces the stock app,en,,,,,14831371782,"Textra so far does what it claims to do. I'm not sure why they went the ad route, that's the only real degradation of the experience for me. Courage developers! Customers will follow! If you build it, they will come!",4.00,Replaces the stock app,3.7,0
Donitta Booth,2015-10-21T14:55:16,14831371782LCyjyQGOJzpbyIImN66IVPg,ZZ,"I used to LOVE this app.  Then I started getting lots of texts from the developers.  Now it crashes every time I use it.  Sometimes several times in a row.  If it doesn't get back to how it used to be, I'll have to uninstall it.",What happened?,en,,,,,14831371782,"I used to LOVE this app.  Then I started getting lots of texts from the developers.  Now it crashes every time I use it.  Sometimes several times in a row.  If it doesn't get back to how it used to be, I'll have to uninstall it.",2.00,What happened?,,0
Muddy Paws,2015-10-21T14:44:18,14831371782LjEAK7JENxGygTQ1nmh3aQQ,ZZ,Super neat app for customizing text messages!,Very cool!,en,lmo,la,fr,is,14831371782,Super neat app for customizing text messages!,5.00,Very cool!,3.7,0
Mike Solberg,2015-10-21T14:31:34,14831371782Lcy8VfaL6brecd-_aZxReLQ,ZZ,Good app,Good,en,la,fr,cy,it,14831371782,Good app,4.00,Good,3.7,0
Kenneth Polakovsky,2015-10-21T14:26:17,14831371782LOlKXjKN_mvRmOpo3Yd0Hog,ZZ,"Still doesn't sound a tone when app is open and you get a text, and NOW its having issues sending MMS text! Pls fix",Love this over stock but...,en,,,,,14831371782,"Still doesn't sound a tone when app is open and you get a text, and NOW its having issues sending MMS text! Pls fix",4.00,Love this over stock but...,3.7,0
Joan Weston,2015-10-21T13:58:01,14831371782Lm9NYA6h01xWrJmxMlkGD0A,ZZ,"Multi-person conversations on Samsung The main reason I tried Textra was because when I got text messages as a group, I found that on the Samsung Messaging App, they got split up, so I couldn't follow the thread.   This app lets you follow a group conversation in one window.   Support is also helpful and quick.",,en,,,,,14831371782,"Multi-person conversations on Samsung The main reason I tried Textra was because when I got text messages as a group, I found that on the Samsung Messaging App, they got split up, so I couldn't follow the thread.   This app lets you follow a group conversation in one window.   Support is also helpful and quick.",4.00,,3.7,0
